folioviv,gasto_total_trimestral,tortilla,perfume,proporcion_tortilla,proporcion_perfume
860154508,5039.5199999999995,218.57,NA,0.04337119408197607,NA
2360181422,6681.179999999999,964.25,NA,0.14432330815813973,NA
300865806,22181.37,822.83,NA,0.03709554459440513,NA
1161820609,14919.78,NA,NA,NA,NA
1413909023,19559.84,488.53,NA,0.024976175674238644,NA
1960145514,9893.21,578.55,NA,0.05847950260835462,NA
860055215,39426.24,1324.25,NA,0.033588036799857154,NA
1701254604,25274.22,385.7,NA,0.01526060942731368,NA
2302879406,36668.46,205.7,NA,0.00560972563341902,NA
1909940217,33979.44,591.4100000000001,NA,0.017404936632269396,NA
601273801,11031.85,347.13,NA,0.03146616388003825,NA
2600157402,4082.72,128.56,NA,0.0314888113806482,NA
2501517501,17944.42,1349.95,NA,0.07522951424453954,NA
2001606001,38711.97,1054.27,NA,0.027233695417722217,NA
1703287303,12269.619999999999,385.7,NA,0.031435366376464796,NA
2808203020,27300.93,0,NA,0,NA
1700096403,16082.41,359.98,NA,0.022383461185232812,NA
160057502,15913.02,NA,870.96,NA,0.05473253976932097
2660692017,4633.68,231.42,NA,0.04994302584554824,NA
1000854901,59405.39,359.98,1016.12,0.006059719496833537,0.017104845200073597
917943203,13388.7,NA,NA,NA,NA
2303125002,5769.63,385.7,NA,0.06685004064385411,NA
1402284602,11323.16,912.8100000000001,NA,0.08061442212244639,NA
2300512604,5156.0199999999995,501.39,0,0.09724361038165097,0
2303346416,11396.07,276.41,NA,0.024254852769419636,NA
1800652601,39163.13,96.42,NA,0.0024620095482664438,NA
660041015,16627.94,NA,NA,NA,NA
2900195802,19855.42,1060.6999999999998,NA,0.0534211817226732,NA
2106924602,53049.58,771.41,NA,0.014541302683263467,NA
1800465301,59677.39,1208.52,NA,0.020250885636922122,NA
660104812,10340.68,874.25,NA,0.08454473013380165,NA
2501262702,14047.48,1028.54,NA,0.07321882643719728,NA
2002872605,14056.74,179.99,NA,0.012804533625862043,NA
460207408,5120.24,719.9499999999999,NA,0.14060864334484321,NA
801267904,28193.91,1157.1,NA,0.04104077795523927,NA
601421918,10931.64,964.24,NA,0.0882063441533018,NA
301011921,33797.49,1079.99,522.58,0.0319547398342303,0.015462094966223826
1161045205,16832.7,925.68,87.09,0.054992960131173246,0.005173858026341585
3062626410,5139.36,359.98,261.29,0.07004374085489244,0.05084096074219359
1505984703,37701.67,1157.1,NA,0.030690948172852818,NA
2500642703,11681.92,257.14,NA,0.022011792582041306,NA
160071805,15488.96,1748.55,NA,0.11289008429229594,NA
1360783912,21000.92,NA,NA,NA,NA
3201268715,14221.94,218.56,NA,0.015367804954879574,NA
1860326323,16063.95,NA,NA,NA,NA
2200542303,13363.289999999999,1317.82,NA,0.09861493689054118,NA
2602215403,45235.659999999996,537.28,NA,0.011877355166256003,NA
2560066611,16617.92,1131.4099999999999,NA,0.06808373129729833,NA
600423503,20059.83,1054.21,NA,0.05255328684241092,NA
3103492301,15488.27,1247.09,NA,0.08051835356692516,NA
1003069906,22147.48,771.4,696.77,0.03483014771883754,0.031460464125038154
1360744815,6860.67,NA,NA,NA,NA
